,Hotel,Resort name,Price,Country
69,TRINITE HAUSSMANN 4 *DBL Standard,ПарижPARISПариж,1 392,Франция
70,PAX HOTEL 3* SuperiorDBL Classic,ПарижPARISПариж,1 394,Франция
71,CALVADOS HOTEL 3 *DBL,ПарижPARISПариж,1 399,Франция
72,REGINA OPERA GRAND BOULEVARD 4 *DBL,ПарижPARISПариж,1 402,Франция
73,PAVILLON OPERA BOURSE 3* SuperDBL Classic,ПарижPARISПариж,1 412,Франция
74,PAVILLON OPERA GRANDS BOULEVARDS 3* SuperiorDBL Classic,ПарижPARISПариж,1 412,Франция
75,BEST WESTERN PARIS GARE ST LAZARE 4 *DBL,ПарижPARISПариж,1 417,Франция
76,PARIS WITH CHILDREN ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 419,Франция
77,PAVILLON VILLIERS ETOILE 3* SuperDBL Classic,ПарижPARISПариж,1 420,Франция
78,PAX HOTEL 3* SuperiorDBL Superior,ПарижPARISПариж,1 426,Франция
79,VILLA LAFAYETTE PARIS IX 3 *Guest Room,ПарижPARISПариж,1 438,Франция
80,VILLA LAFAYETTE PARIS IX 3 *Urban Deluxe,ПарижPARISПариж,1 447,Франция
81,PARIS & LOIRE CASTLES ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 447,Франция
82,PAVILLON OPERA GRANDS BOULEVARDS 3* SuperiorTwin Superior,ПарижPARISПариж,1 450,Франция
83,IMPERIAL HOTEL (PARIS) 3 *DBL Standard,ПарижPARISПариж,1 454,Франция
84,PARIS CLASSIC STANDARD 3 *DBL,Экскурсионные туры - ПарижPARISПариж,1 454,Франция
85,VILLA EUGENIE 4 *DBL Classic,ПарижPARISПариж,1 457,Франция
86,VILLA ALESSANDRA 4 *DBL Classic,ПарижPARISПариж,1 458,Франция
87,VILLA LUXEMBOURG 4 *DBL Classic,ПарижPARISПариж,1 458,Франция
88,PEYRIS HOTEL 3* SuperiorDBL Classic,ПарижPARISПариж,1 458,Франция
89,VILLA LUTECE PORT ROYAL 4 *DBL Classic,ПарижPARISПариж,1 458,Франция
90,TRINITE HAUSSMANN 4 *DBL Standard,ПарижPARISПариж,1 468,Франция
91,TRINITE HAUSSMANN 4 *TRPL Superior,ПарижPARISПариж,1 474,Франция
92,PAX HOTEL 3* SuperiorDBL Classic,ПарижPARISПариж,1 477,Франция
93,REGINA OPERA GRAND BOULEVARD 4 *DBL,ПарижPARISПариж,1 480,Франция
94,VILLA MONTPARNASSE 4 *DBL Classic,ПарижPARISПариж,1 486,Франция
95,PEYRIS HOTEL 3* SuperiorDBL Superior,ПарижPARISПариж,1 490,Франция
96,PAVILLON OPERA GRANDS BOULEVARDS 3* SuperiorDBL Classic,ПарижPARISПариж,1 492,Франция
97,PAVILLON OPERA BOURSE 3* SuperDBL Classic,ПарижPARISПариж,1 492,Франция
98,BEST WESTERN PARIS GARE ST LAZARE 4 *DBL,ПарижPARISПариж,1 498,Франция
99,MASSENA HOTEL 3* SuperiorDBL,ПарижPARISПариж,1 502,Франция
0,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,623,Чехия
1,LIFE APART Ap.HtlStandard Room,МармарисMARMARISМармарис,646,Чехия
2,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,650,Чехия
3,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,658,Чехия
4,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,673,Чехия
5,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,677,Чехия
